program: PROGRAMSYM
pp: IDENT
;: SEMICOLON
var: VARSYM
n: IDENT
,: COMMA
p: IDENT
:: COLON
integer: IDENT
;: SEMICOLON
procedure: PROCSYM
p1: IDENT
(: LPAREN
n: IDENT
:: COLON
integer: IDENT
;: SEMICOLON
var: VARSYM
p: IDENT
:: COLON
integer: IDENT
): RPAREN
;: SEMICOLON
begin: BEGINSYM
if: IFSYM
n: IDENT
<=: LEQ
10: INTCON
and: ANDSYM
n: IDENT
>: GTR
0: INTCON
or: ORSYM
n: IDENT
>: GTR
1: INTCON
not: NOTSYM
n: IDENT
=: EQL
4: INTCON
then: THENSYM
p: IDENT
:=: BECOME
1: INTCON
else: ELSESYM
begin: BEGINSYM
call: CALLSYM
p1: IDENT
(: LPAREN
n: IDENT
-1: INTCON
,: COMMA
p: IDENT
): RPAREN
;: SEMICOLON
p: IDENT
:=: BECOME
n: IDENT
*: TIMES
p: IDENT
end: ENDSYM
while: WHILESYM
n: IDENT
<=: LEQ
100: INTCON
do: DOSYM
begin: BEGINSYM
n: IDENT
:=: BECOME
n: IDENT
+: PLUS
1: INTCON
end: ENDSYM
end: ENDSYM
;: SEMICOLON
begin: BEGINSYM
call: CALLSYM
read: IDENT
(: LPAREN
n: IDENT
): RPAREN
;: SEMICOLON
call: CALLSYM
p1: IDENT
(: LPAREN
n: IDENT
+: PLUS
2: INTCON
,: COMMA
p: IDENT
): RPAREN
;: SEMICOLON
call: CALLSYM
write: IDENT
(: LPAREN
p: IDENT
): RPAREN
end: ENDSYM
.: PERIOD
